date,ticker,sector,open,high,low,close,adj_close,volume,range_pct,daily_return_pct,overnight_gap_pct,intraday_move_pct,abs_overnight_gap_pct,abs_intraday_move_pct,year,month,weekday
2024-01-02,BRITANNIA.NS,Consumer Staples,5319.7998046875,5334.9501953125,5224.10009765625,5288.85009765625,5153.359375,193517,2.0837268642811577,-0.581783303273535,0.0,-0.581783303273535,0.0,0.581783303273535,2024,1,1
2024-01-03,BRITANNIA.NS,Consumer Staples,5288.85009765625,5333.89990234375,5240.0,5253.7998046875,5119.20703125,123303,1.775431343485452,-0.6627204840667069,0.0,-0.6627204840667069,0.0,0.6627204840667069,2024,1,2
2024-01-04,BRITANNIA.NS,Consumer Staples,5253.7998046875,5375.0,5221.0,5361.2998046875,5223.953125,413391,2.931211803361815,2.046138109489579,0.0,2.046138109489579,0.0,2.046138109489579,2024,1,3
2024-01-05,BRITANNIA.NS,Consumer Staples,5361.2998046875,5363.35009765625,5256.0,5272.35009765625,5137.2822265625,299017,2.002314766325724,-1.6591071246095836,0.0,-1.6591071246095836,0.0,1.6591071246095836,2024,1,4
2024-01-08,BRITANNIA.NS,Consumer Staples,5305.0,5305.0,5171.0498046875,5177.35009765625,5044.7158203125,236628,2.5249801189915173,-1.8018530302498486,0.6192665839520798,-2.406218705819981,0.6192665839520798,2.406218705819981,2024,1,0
2024-01-09,BRITANNIA.NS,Consumer Staples,5199.0,5210.2001953125,5111.0,5122.39990234375,4991.17333984375,194434,1.908062998894018,-1.0613575337965955,0.4181657012831865,-1.4733621399547991,0.4181657012831865,1.4733621399547991,2024,1,1
2024-01-10,BRITANNIA.NS,Consumer Staples,5111.0,5143.64990234375,5051.5,5086.64990234375,4956.33935546875,191450,1.8029720669878693,-0.6979150531305183,-0.2225500265712168,-0.47642531121600473,0.2225500265712168,0.47642531121600473,2024,1,2
2024-01-11,BRITANNIA.NS,Consumer Staples,5102.89990234375,5186.39990234375,5076.5498046875,5136.7001953125,5005.107421875,277823,2.152699440680702,0.9839539565262508,0.3194637003130994,0.6623742110486158,0.3194637003130994,0.6623742110486158,2024,1,3
2024-01-12,BRITANNIA.NS,Consumer Staples,5149.0,5250.39990234375,5100.0498046875,5151.10009765625,5019.13818359375,462298,2.9199863596086617,0.2803337122320404,0.23944953413329817,0.040786514978636626,0.23944953413329817,0.040786514978636626,2024,1,4
2024-01-15,BRITANNIA.NS,Consumer Staples,5159.9501953125,5228.0,5119.0,5177.35009765625,5044.7158203125,400069,2.112423490037169,0.5095998816241941,0.17180985592333556,0.33721066454394755,0.17180985592333556,0.33721066454394755,2024,1,0
2024-01-16,BRITANNIA.NS,Consumer Staples,5168.39990234375,5218.0,5107.25,5130.60009765625,4999.1630859375,203028,2.1428295428489856,-0.9029715804068068,-0.17287212847652877,-0.7313637760568539,0.17287212847652877,0.7313637760568539,2024,1,1
