date,ticker,sector,open,high,low,close,adj_close,volume,range_pct,daily_return_pct,overnight_gap_pct,intraday_move_pct,abs_overnight_gap_pct,abs_intraday_move_pct,year,month,weekday
2025-10-31,MARICO.NS,Consumer Staples,721.5,728.6500244140625,718.6500244140625,719.9500122070312,719.9500122070312,1185320,1.386001386001386,-0.2148285229339916,0.0,-0.2148285229339916,0.0,0.2148285229339916,2025,10,4
2025-02-12,BRITANNIA.NS,Consumer Staples,4899.0498046875,4932.9501953125,4843.5498046875,4918.2998046875,4854.67919921875,336331,1.824851638361792,0.2905761680148362,-0.1019565501806443,0.3929333394729168,0.1019565501806443,0.3929333394729168,2025,2,2
2024-08-26,NESTLEIND.NS,Consumer Staples,1264.5999755859375,1272.5,1253.9749755859375,1259.7750244140625,1233.8924560546875,1266798,1.4648920426776972,-0.3815397173038388,0.0,-0.3815397173038388,0.0,0.3815397173038388,2024,8,0
2024-05-28,DABUR.NS,Consumer Staples,570.0,578.9000244140625,564.5499877929688,570.7999877929688,549.7548828125,4429603,2.517550284402412,0.5992180529807508,0.4582262026904949,0.1403487356085526,0.4582262026904949,0.1403487356085526,2024,5,1
2024-10-09,BRITANNIA.NS,Consumer Staples,6158.64990234375,6185.0,6070.0498046875,6097.25,6018.37890625,551094,1.8664836796252096,-1.7269986466100204,-0.7373799355311971,-0.996970169068768,0.7373799355311971,0.996970169068768,2024,10,2
2025-01-24,NESTLEIND.NS,Consumer Staples,1101.0,1111.375,1095.050048828125,1103.949951171875,1081.268798828125,1327200,1.4827385260558583,0.4070102262721054,0.1387047861866775,0.2679338030767484,0.1387047861866775,0.2679338030767484,2025,1,4
2025-08-06,NESTLEIND.NS,Consumer Staples,1135.0,1136.199951171875,1113.050048828125,1116.6500244140625,1105.3399658203125,1127544,2.039638973017621,-1.499580967131951,0.1190822173390987,-1.6167379370870043,0.1190822173390987,1.6167379370870043,2025,8,2
2025-02-06,BRITANNIA.NS,Consumer Staples,4932.10009765625,4978.7998046875,4906.0498046875,4956.0498046875,4891.94091796875,466931,1.4750308906863232,0.4743880633537671,-0.0111462337361254,0.4855884219103943,0.0111462337361254,0.4855884219103943,2025,2,3
2025-05-27,HINDUNILVR.NS,Consumer Staples,2394.10009765625,2409.5,2360.300048828125,2380.199951171875,2313.526123046875,1865258,2.055049879495023,-0.580600055026221,0.0,-0.580600055026221,0.0,0.580600055026221,2025,5,1
2024-04-15,MARICO.NS,Consumer Staples,510.1499938964844,514.0,505.3500061035156,509.25,501.5601196289063,1163084,1.6955785553218226,-1.0300238885830508,-0.8551149549836798,-0.1764175060770449,0.8551149549836798,0.1764175060770449,2024,4,0
2024-07-12,ITC.NS,Consumer Staples,441.6410827636719,446.0704956054688,438.9449157714844,442.0262451171875,407.4143981933594,19693114,1.6134322897214182,0.0872116224118874,0.0,0.0872116224118874,0.0,0.0872116224118874,2024,7,4
2025-01-23,BRITANNIA.NS,Consumer Staples,4944.14990234375,5042.9501953125,4883.2001953125,5012.60009765625,4947.75927734375,361082,3.23109135352614,1.1277644428971911,-0.2531985489180621,1.384468445830324,0.2531985489180621,1.384468445830324,2025,1,3
2025-05-19,HINDUNILVR.NS,Consumer Staples,2375.0,2405.0,2375.0,2382.699951171875,2315.9560546875,936655,1.263157894736842,0.0545917897638907,-0.2687453853278183,0.3242084703947368,0.2687453853278183,0.3242084703947368,2025,5,0
2025-09-10,ITC.NS,Consumer Staples,411.0,413.7000122070313,408.9500122070313,413.0499877929688,393.8415832519531,9252397,1.1557177615571776,0.7316181171342159,0.2316820473875746,0.4987804849072385,0.2316820473875746,0.4987804849072385,2025,9,2
2025-02-18,HINDUNILVR.NS,Consumer Staples,2329.39990234375,2338.550048828125,2288.0,2296.0,2231.684814453125,1035705,2.1700889047545484,-1.4338414932594588,0.0,-1.4338414932594588,0.0,1.4338414932594588,2025,2,1
2025-07-11,BRITANNIA.NS,Consumer Staples,5878.0,5904.5,5717.0,5758.5,5684.0107421875,175941,3.1898604967676083,-2.0330044232732223,0.0,-2.0330044232732223,0.0,2.0330044232732223,2025,7,4
2024-09-23,DABUR.NS,Consumer Staples,668.0,671.5,656.2999877929688,661.0499877929688,639.4041748046875,1684518,2.2754509291962948,-0.9737098522748956,0.0674125107123535,-1.0404209890765344,0.0674125107123535,1.0404209890765344,2024,9,0
2025-07-31,ITC.NS,Consumer Staples,405.9500122070313,414.0,405.5499877929688,411.9500122070313,392.7927856445313,19364174,2.0815400795509307,1.0672242488659045,-0.4048071324280933,1.4780144893652691,0.4048071324280933,1.4780144893652691,2025,7,3
2025-12-18,HINDUNILVR.NS,Consumer Staples,2270.0,2278.300048828125,2255.300048828125,2265.5,2242.6884765625,1057295,1.013215859030837,-0.4438432599230672,-0.246093224464958,-0.198237885462555,0.246093224464958,0.198237885462555,2025,12,3
2024-01-03,NESTLEIND.NS,Consumer Staples,1367.25,1370.864990234375,1328.6500244140625,1331.760009765625,1295.10986328125,2026920,3.087582067676906,-2.159739895657652,0.4475991520457819,-2.595720624200037,0.4475991520457819,2.595720624200037,2024,1,2
2024-07-19,MARICO.NS,Consumer Staples,686.0,686.2000122070312,666.4000244140625,668.6500244140625,658.5531005859375,929516,2.886295596642675,-2.3654744468691558,0.1679235533415289,-2.5291509600491984,0.1679235533415289,2.5291509600491984,2024,7,4
2024-02-12,ITC.NS,Consumer Staples,402.0652465820313,402.4985656738281,390.9917297363281,391.7620544433594,354.55078125,11326971,2.861932493623848,-2.0818308444171407,0.4933795396268444,-2.5625672017812087,0.4933795396268444,2.5625672017812087,2024,2,0
2025-03-17,HINDUNILVR.NS,Consumer Staples,2161.0,2195.449951171875,2156.5,2171.25,2110.42919921875,1111886,1.8024040338674223,-0.163235642285272,-0.6345433381593427,0.4743174456270245,0.6345433381593427,0.4743174456270245,2025,3,0
2024-04-19,NESTLEIND.NS,Consumer Staples,1215.0,1235.675048828125,1205.0,1218.8499755859375,1188.65283203125,3702024,2.5246953768004112,-1.009120511807491,-1.321802529195899,0.316870418595679,1.321802529195899,0.316870418595679,2024,4,4
2025-03-03,MARICO.NS,Consumer Staples,596.7999877929688,599.6500244140625,589.5,594.1500244140625,588.29052734375,1783194,1.7007413910309206,-1.073917987689312,-0.6326986259467512,-0.4440287253868926,0.6326986259467512,0.4440287253868926,2025,3,0
2025-12-04,MARICO.NS,Consumer Staples,711.7999877929688,715.5499877929688,707.25,714.6500244140625,714.6500244140625,1425940,1.1660561864722665,0.5628649634252861,0.1618185238021212,0.4003985206477272,0.1618185238021212,0.4003985206477272,2025,12,3
2024-10-03,MARICO.NS,Consumer Staples,694.0,719.8499755859375,690.3499755859375,699.0499877929688,688.4940185546875,4581037,4.250720461095101,0.7784852863614742,0.050454202208546,0.7276639471136527,0.050454202208546,0.7276639471136527,2024,10,3
2024-04-05,ITC.NS,Consumer Staples,406.8316955566406,415.6905212402344,404.3762512207031,411.6944274902344,372.58990478515625,16768902,2.781068963678135,1.135426786623144,-0.0591350937768785,1.1952687036688228,0.0591350937768785,1.1952687036688228,2024,4,4
