group,n,mean,std,levene_stat,levene_p,adopted_test
Technology,40,2.0839761206798175,1.2981012449091924,0.18888545643066895,0.6650458732971923,pooled
Consumer Staples,40,2.3197457460842608,1.3977158911412204,0.18888545643066895,0.6650458732971923,pooled
