group,n,mean,median,std,min,q1,q3,max,skewness,excess_kurtosis
Overall,5928,2.0705908113834672,1.8288228331811172,1.077912255638392,0.0,1.3749762771956597,2.4505636732380855,14.5801133436373,2.459117718477963,11.853073368957016
Technology,2964,2.190550341007239,1.9348111821392853,1.1342039424962647,0.0,1.4677430692923918,2.583738416787239,14.5801133436373,2.5110533965947397,12.773872305423275
Consumer Staples,2964,1.9506312817596954,1.7327231176913722,1.0044764418949566,0.0,1.3115122959144945,2.296220616351105,10.56438291834768,2.367192482263309,10.001889912086115
