quantity,original,recomputed,abs_diff
Step1 sample_mean,2.004123286787076,2.004123286787076,0.0
Step1 sample_std,1.159702803003111,1.159702803003111,0.0
Step1 SE,0.18336511331856942,0.18336511331856942,0.0
Step2 CI lower,1.6332323370260942,1.6332323370260942,0.0
Step2 CI upper,2.375014236548058,2.375014236548058,0.0
Step5 t_statistic,1.6670215188578033,1.6670215188578033,0.0
Step5 p_value,0.05176116427435902,0.05176116427435902,0.0
"Step6-B t_statistic (pooled, current fixed sample)",-0.7817108194049271,-0.7817108194049301,2.9976021664879227e-15
"Step6-B p_value (pooled, current fixed sample)",0.4367509882579548,0.43675098825795317,1.609823385706477e-15
Step6-C t_statistic,-3.1084298472887517,-3.1084298472887513,4.440892098500626e-16
Step6-C p_value,0.003503989191730442,0.0035039891917304417,4.336808689942018e-19
