test,H0,Ha,n,statistic,df,p_value,decision,effect_size,ci_95
A: One-sample t-test,mu <= 2.0,mu > 2.0,40,1.6670215188578033,39,0.05176116427435902,FAIL TO REJECT H0,0.26357924540519956,"[1.9344, 2.6804]"
B: Two-sample t-test (pooled),mu_IT = mu_FMCG,mu_IT != mu_FMCG,40+40,-0.7817108194049271,78,0.4367509882579548,FAIL TO REJECT H0,-0.17479585309364787,"[-0.8363, 0.3647]"
C: Paired t-test,mu_diff = 0,mu_diff != 0,40,-3.1084298472887517,39,0.003503989191730442,REJECT H0,-0.4914859132140913,"[-0.7301, -0.1545]"
